domanda_id,categoria,domanda,risposta_1,risposta_2,risposta_3,risposta_4,risposta_corretta
q1,Le api,Quante ali ha un'ape mellifera adulta?,2,4,6,8,2
q2,Le api,Quale casta Ã¨ responsabile della deposizione delle uova in una colonia sana?,Operaia,Fuco,Regina,Guardiana,3
q3,Le api,Quanto vive mediamente un'ape operaia durante la stagione di raccolta?,Circa 6 giorni,Circa 6 settimane,Circa 6 mesi,Circa 1 anno,2
q4,Le api,Come viene chiamata l'azione con cui le api regolano la temperatura all'interno dell'alveare?,Ventilazione,Svernamento,Sciamatura,Nutrizione,1
q5,Le api,In quale parte del corpo delle api si trova il nettare raccolto prima di essere trasformato in miele?,Stomaco sociale (borsa melaria),Intestino tenue,Sacco pollinico,Ghiandole ceripare,1
q6,Le api,Quale delle seguenti NON Ã¨ una funzione tipica delle api operaie?,Pulizia delle celle,Raccolta di nettare e polline,Deposizione di uova fecondate,Difesa dell'alveare,3
q7,Le api,Quale ruolo hanno principalmente i fuchi nella colonia?,Raccogliere polline,Fecondare una regina vergine,Produrre cera,Ventilare l'alveare,2
q8,Le api,Come viene definita la comunicazione danzata con cui le api indicano fonti di cibo?,Danza rotonda,Danza dell'addome,Danza a otto (waggle dance),Danza a ventaglio,3
q9,Impollinazione,PerchÃ© le api sono cosÃ¬ importanti per l'impollinazione delle colture agricole?,PerchÃ© producono molta cera,PerchÃ© visitano molti fiori e trasferiscono il polline,PerchÃ© difendono le piante dai parassiti,PerchÃ© consumano i semi difettosi,2
q10,Impollinazione,Quale pratica Ã¨ piÃ¹ favorevole agli impollinatori in un frutteto?,Sfalciare tutti i fiori spontanei durante la fioritura,Lasciare fasce inerbite e fiorite tra i filari,Usare insetticidi ad ampio spettro al mattino,Rimuovere tutti gli alberi in fioritura spontanea,2
q11,Impollinazione,In quale momento della giornata Ã¨ generalmente piÃ¹ sicuro trattare con fitofarmaci per ridurre l'impatto sulle api?,Al mattino presto durante la massima fioritura,A mezzogiorno con piena attivitÃ di volo,Al tramonto o di notte,In qualunque momento non fa differenza,3
q12,Impollinazione,Che cosa si intende per impollinazione incrociata?,Impollinazione tra fiori della stessa pianta,Impollinazione tra fiori di piante diverse ma della stessa specie,Impollinazione operata solo dal vento,Impollinazione senza polline,2
q13,Impollinazione,Quale tra questi insetti Ã¨ considerato uno dei piÃ¹ importanti impollinatori agricoli?,Coleotteri,Mosche carnivore,Api mellifere,Scarafaggi del suolo,3
q14,Impollinazione,PerchÃ© la diversitÃ floreale durante l'anno Ã¨ importante per le api?,Per aumentare solo la produzione di cera,Per garantire fonti continue di nettare e polline,Per ridurre il numero di colonie,Per evitare la sciamatura,2
q15,Impollinazione,Quale sintomo puÃ² indicare un'avvelenamento acuto da pesticidi in un apiario?,Api calme all'ingresso,Api morte in gran numero davanti all'alveare,Crescita di nuova covata,Maggiore raccolta di polline,2
q16,Gestione dell'alveare,Che cos'Ã¨ la sciamatura in apicoltura?,La raccolta del miele,La divisione naturale della colonia in due gruppi,La morte della regina,La sostituzione dei telaini vecchi,2
q17,Gestione dell'alveare,Quale pratica aiuta a prevenire la sciamatura indesiderata?,Stringere l'alveare e ridurre lo spazio,Aggiungere melari o telaini per aumentare lo spazio,Sospendere tutte le ispezioni,Eliminare le scorte di miele,2
q18,Gestione dell'alveare,Quale parassita Ã¨ uno dei problemi principali per le colonie di api mellifere in Europa?,Varroa destructor,Mosca domestica,Cimice asiatica,Afide verde,1
q19,Gestione dell'alveare,PerchÃ© Ã¨ importante rinnovare periodicamente i telaini con cera vecchia?,Per aumentare il peso dell'alveare,Per ridurre residui e patogeni accumulati nella cera,Per diminuire la produzione di covata,Per facilitare la sciamatura,2
q21,Gestione dell'alveare,Cosa indica generalmente una covata compatta e uniforme?,Una regina vecchia e difettosa,Una buona qualitÃ di regina e colonia sana,Una forte presenza di varroa,Una carenza di nutrimento,2
q22,Gestione dell'alveare,Quale comportamento puÃ² indicare che una colonia Ã¨ orfana (senza regina)?,Calma e volo regolare,Rumore piÃ¹ forte e agitazione sulle api,Maggiore raccolta di nettare,Formazione di barbe di api all'esterno,2
q23,Prodotti dell'alveare,Che cos'Ã¨ il miele millefiori?,Miele prodotto solo da fiori di tiglio,Miele prodotto da fiori di agrumi,Miele ottenuto da nettare di molte specie floreali,Miele senza polline,3
q24,Prodotti dell'alveare,Quale componente principale rende il miele un alimento ad alta densitÃ energetica?,Proteine,Grassi,Carboidrati (zuccheri),Vitamine,3
q25,Prodotti dell'alveare,Che cos'Ã¨ la propoli?,Un tipo di miele cristallizzato,Una sostanza resinosa raccolta dalle api per sigillare e disinfettare l'alveare,Un parassita della covata,Un sostituto dello zucchero,2
q26,Prodotti dell'alveare,Quale prodotto dell'alveare Ã¨ ricco di proteine e viene utilizzato come integratore?,Cera d'api,Polline,Miele,Acqua,2
q27,Prodotti dell'alveare,"Cosa caratterizza un miele monoflora (es. acacia, castagno)?",Ãˆ prodotto in un solo alveare,Deriva prevalentemente dal nettare di una singola specie vegetale,Non contiene polline,Non cristallizza mai,2
q28,Prodotti dell'alveare,PerchÃ© il miele cristallizza?,PerchÃ© diventa vecchio,"Per la naturale precipitazione degli zuccheri, soprattutto glucosio",Per presenza di acqua piovana,PerchÃ© Ã¨ stato riscaldato,2
