id,topic_key,topic_label,text,option_1,option_2,option_3,option_4,correct_index,explanation,time_limit_seconds
q1,bees,Le api,Quante ali ha un'ape mellifera adulta?,4,2,6,8,0,"Le api mellifere adulte hanno due paia di ali, per un totale di quattro.",20
q2,bees,Le api,Quale casta è responsabile della deposizione delle uova in una colonia sana?,Operaia,Regina,Fuco,Guardiana,1,La regina è la principale responsabile della deposizione delle uova nella colonia.,25
q3,bees,Le api,Quanto vive mediamente un'ape operaia durante la stagione di raccolta?,Circa 6 giorni,Circa 6 mesi,Circa 6 settimane,Circa 1 anno,2,Durante la stagione di raccolta un'ape operaia vive in media circa 6 settimane.,25
q4,bees,Le api,Come viene chiamata l'azione con cui le api regolano la temperatura all'interno dell'alveare?,Svernamento,Sciamatura,Nutrizione,Ventilazione,3,Le api ventilano l'alveare muovendo rapidamente le ali per regolare temperatura e umidità.,25
q5,bees,Le api,In quale parte del corpo delle api si trova il nettare raccolto prima di essere trasformato in miele?,Stomaco sociale (borsa melaria),Intestino tenue,Sacco pollinico,Ghiandole ceripare,0,"Il nettare viene accumulato nello stomaco sociale, chiamato anche borsa melaria.",25
q6,bees,Le api,Quale delle seguenti NON è una funzione tipica delle api operaie?,Pulizia delle celle,Deposizione di uova fecondate,Raccolta di nettare e polline,Difesa dell'alveare,1,"La deposizione di uova fecondate è compito della regina, non delle operaie.",25
q7,bees,Le api,Quale ruolo hanno principalmente i fuchi nella colonia?,Raccogliere polline,Produrre cera,Fecondare una regina vergine,Ventilare l'alveare,2,I fuchi hanno come ruolo principale la fecondazione di una regina vergine durante il volo nuziale.,25
q8,bees,Le api,Come viene definita la comunicazione danzata con cui le api indicano fonti di cibo?,Danza rotonda,Danza dell'addome,Danza a ventaglio,Danza a otto (waggle dance),3,La danza a otto (waggle dance) comunica direzione e distanza di una fonte di cibo.,30
q9,pollination,Impollinazione,Perché le api sono così importanti per l'impollinazione delle colture agricole?,Perché visitano molti fiori e trasferiscono il polline,Perché producono molta cera,Perché difendono le piante dai parassiti,Perché consumano i semi difettosi,0,"Visitando molti fiori, le api trasferiscono il polline e favoriscono la fecondazione.",25
q10,pollination,Impollinazione,Quale pratica è più favorevole agli impollinatori in un frutteto?,Sfalciare tutti i fiori spontanei durante la fioritura,Lasciare fasce inerbite e fiorite tra i filari,Usare insetticidi ad ampio spettro al mattino,Rimuovere tutti gli alberi in fioritura spontanea,1,Le fasce inerbite e fiorite offrono nettare e polline a molti impollinatori.,30
q11,pollination,Impollinazione,In quale momento della giornata è generalmente più sicuro trattare con fitofarmaci per ridurre l'impatto sulle api?,Al mattino presto durante la massima fioritura,A mezzogiorno con piena attività di volo,Al tramonto o di notte,In qualunque momento non fa differenza,2,Trattare al tramonto o di notte riduce l'esposizione diretta delle api ai prodotti.,25
q12,pollination,Impollinazione,Che cosa si intende per impollinazione incrociata?,Impollinazione tra fiori della stessa pianta,Impollinazione operata solo dal vento,Impollinazione senza polline,Impollinazione tra fiori di piante diverse ma della stessa specie,3,L'impollinazione incrociata avviene tra fiori di piante diverse della stessa specie.,25
q13,pollination,Impollinazione,Quale tra questi insetti è considerato uno dei più importanti impollinatori agricoli?,Api mellifere,Coleotteri,Mosche carnivore,Scarafaggi del suolo,0,L'ape mellifera è uno degli impollinatori agricoli più importanti e gestiti.,20
