id,topic_key,topic_label,text,option_1,option_2,option_3,option_4,correct_index,correct_answer,explanation,time_limit_seconds
q1,bees,Le api,Quante ali ha un'ape mellifera adulta?,4,2,6,8,0,4,"Le api mellifere adulte hanno due paia di ali, per un totale di quattro.",20
q2,bees,Le api,Quale casta è responsabile della deposizione delle uova in una colonia sana?,Operaia,Regina,Fuco,Guardiana,1,Regina,La regina è la principale responsabile della deposizione delle uova nella colonia.,25
q3,bees,Le api,Quanto vive mediamente un'ape operaia durante la stagione di raccolta?,Circa 6 giorni,Circa 6 mesi,Circa 6 settimane,Circa 1 anno,2,Circa 6 settimane,Durante la stagione di raccolta un'ape operaia vive in media circa 6 settimane.,25
q4,bees,Le api,Come viene chiamata l'azione con cui le api regolano la temperatura all'interno dell'alveare?,Svernamento,Sciamatura,Nutrizione,Ventilazione,3,Ventilazione,Le api ventilano l'alveare muovendo rapidamente le ali per regolare temperatura e umidità.,25
q5,bees,Le api,In quale parte del corpo delle api si trova il nettare raccolto prima di essere trasformato in miele?,Stomaco sociale (borsa melaria),Intestino tenue,Sacco pollinico,Ghiandole ceripare,0,Stomaco sociale (borsa melaria),"Il nettare viene accumulato nello stomaco sociale, chiamato anche borsa melaria.",25
q6,bees,Le api,Quale delle seguenti NON è una funzione tipica delle api operaie?,Pulizia delle celle,Deposizione di uova fecondate,Raccolta di nettare e polline,Difesa dell'alveare,1,Deposizione di uova fecondate,"La deposizione di uova fecondate è compito della regina, non delle operaie.",25
q7,bees,Le api,Quale ruolo hanno principalmente i fuchi nella colonia?,Raccogliere polline,Produrre cera,Fecondare una regina vergine,Ventilare l'alveare,2,Fecondare una regina vergine,I fuchi hanno come ruolo principale la fecondazione di una regina vergine durante il volo nuziale.,25
q8,bees,Le api,Come viene definita la comunicazione danzata con cui le api indicano fonti di cibo?,Danza rotonda,Danza dell'addome,Danza a ventaglio,Danza a otto (waggle dance),3,Danza a otto (waggle dance),La danza a otto (waggle dance) comunica direzione e distanza di una fonte di cibo.,30
q9,pollination,Impollinazione,Perché le api sono così importanti per l'impollinazione delle colture agricole?,Perché visitano molti fiori e trasferiscono il polline,Perché producono molta cera,Perché difendono le piante dai parassiti,Perché consumano i semi difettosi,0,Perché visitano molti fiori e trasferiscono il polline,"Visitando molti fiori, le api trasferiscono il polline e favoriscono la fecondazione.",25
q10,pollination,Impollinazione,Quale pratica è più favorevole agli impollinatori in un frutteto?,Sfalciare tutti i fiori spontanei durante la fioritura,Lasciare fasce inerbite e fiorite tra i filari,Usare insetticidi ad ampio spettro al mattino,Rimuovere tutti gli alberi in fioritura spontanea,1,Lasciare fasce inerbite e fiorite tra i filari,Le fasce inerbite e fiorite offrono nettare e polline a molti impollinatori.,30
q11,pollination,Impollinazione,In quale momento della giornata è generalmente più sicuro trattare con fitofarmaci per ridurre l'impatto sulle api?,Al mattino presto durante la massima fioritura,A mezzogiorno con piena attività di volo,Al tramonto o di notte,In qualunque momento non fa differenza,2,Al tramonto o di notte,Trattare al tramonto o di notte riduce l'esposizione diretta delle api ai prodotti.,25
q12,pollination,Impollinazione,Che cosa si intende per impollinazione incrociata?,Impollinazione tra fiori della stessa pianta,Impollinazione operata solo dal vento,Impollinazione senza polline,Impollinazione tra fiori di piante diverse ma della stessa specie,3,Impollinazione tra fiori di piante diverse ma della stessa specie,L'impollinazione incrociata avviene tra fiori di piante diverse della stessa specie.,25
q13,pollination,Impollinazione,Quale tra questi insetti è considerato uno dei più importanti impollinatori agricoli?,Api mellifere,Coleotteri,Mosche carnivore,Scarafaggi del suolo,0,Api mellifere,L'ape mellifera è uno degli impollinatori agricoli più importanti e gestiti.,20
q14,pollination,Impollinazione,Perché la diversità floreale durante l'anno è importante per le api?,Per aumentare solo la produzione di cera,Per garantire fonti continue di nettare e polline,Per ridurre il numero di colonie,Per evitare la sciamatura,1,Per garantire fonti continue di nettare e polline,Fioriture scalari forniscono alle api risorse alimentari durante tutta la stagione.,25
q15,pollination,Impollinazione,Quale sintomo può indicare un'avvelenamento acuto da pesticidi in un apiario?,Api calme all'ingresso,Crescita di nuova covata,Api morte in gran numero davanti all'alveare,Maggiore raccolta di polline,2,Api morte in gran numero davanti all'alveare,Un accumulo di api morte davanti agli alveari può indicare avvelenamento acuto.,25
q16,hive_management,Gestione dell'alveare,Che cos'è la sciamatura in apicoltura?,La raccolta del miele,La morte della regina,La sostituzione dei telaini vecchi,La divisione naturale della colonia in due gruppi,3,La divisione naturale della colonia in due gruppi,"La sciamatura è la divisione naturale della colonia, con una parte delle api che segue una nuova regina.",25
q17,hive_management,Gestione dell'alveare,Quale pratica aiuta a prevenire la sciamatura indesiderata?,Aggiungere melari o telaini per aumentare lo spazio,Stringere l'alveare e ridurre lo spazio,Sospendere tutte le ispezioni,Eliminare le scorte di miele,0,Aggiungere melari o telaini per aumentare lo spazio,Fornire spazio aggiuntivo alla colonia riduce la congestione e il rischio di sciamatura.,25
q18,hive_management,Gestione dell'alveare,Quale parassita è uno dei problemi principali per le colonie di api mellifere in Europa?,Mosca domestica,Varroa destructor,Cimice asiatica,Afide verde,1,Varroa destructor,Varroa destructor è un acaro parassita che indebolisce le colonie se non viene controllato.,25
q19,hive_management,Gestione dell'alveare,Perché è importante rinnovare periodicamente i telaini con cera vecchia?,Per aumentare il peso dell'alveare,Per diminuire la produzione di covata,Per ridurre residui e patogeni accumulati nella cera,Per facilitare la sciamatura,2,Per ridurre residui e patogeni accumulati nella cera,La cera vecchia può accumulare residui e spore; rinnovarla migliora la sanità dell'alveare.,25
q20,hive_management,Gestione dell'alveare,Cosa indica generalmente una covata compatta e uniforme?,Una regina vecchia e difettosa,Una forte presenza di varroa,Una carenza di nutrimento,Una buona qualità di regina e colonia sana,3,Una buona qualità di regina e colonia sana,Una covata compatta è spesso segno di una regina fertile e di una colonia ben gestita.,25
q21,hive_management,Gestione dell'alveare,Quale comportamento può indicare che una colonia è orfana (senza regina)?,Rumore più forte e agitazione sulle api,Calma e volo regolare,Maggiore raccolta di nettare,Formazione di barbe di api all'esterno,0,Rumore più forte e agitazione sulle api,Le colonie orfane spesso mostrano agitazione e un ronzio più forte rispetto alla norma.,25
q22,bee_products,Prodotti dell'alveare,Che cos'è il miele millefiori?,Miele prodotto solo da fiori di tiglio,Miele ottenuto da nettare di molte specie floreali,Miele prodotto da fiori di agrumi,Miele senza polline,1,Miele ottenuto da nettare di molte specie floreali,Il miele millefiori deriva da nettare raccolto su molte specie di piante diverse.,20
q23,bee_products,Prodotti dell'alveare,Quale componente principale rende il miele un alimento ad alta densità energetica?,Proteine,Grassi,Carboidrati (zuccheri),Vitamine,2,Carboidrati (zuccheri),"Il miele è ricco di zuccheri semplici, soprattutto fruttosio e glucosio.",20
q24,bee_products,Prodotti dell'alveare,Che cos'è la propoli?,Un tipo di miele cristallizzato,Un parassita della covata,Un sostituto dello zucchero,Una sostanza resinosa raccolta dalle api per sigillare e disinfettare l'alveare,3,Una sostanza resinosa raccolta dalle api per sigillare e disinfettare l'alveare,La propoli è una sostanza resinosa che le api usano per sigillare fessure e sanificare l'alveare.,25
q25,bee_products,Prodotti dell'alveare,Quale prodotto dell'alveare è ricco di proteine e viene utilizzato come integratore?,Polline,Cera d'api,Miele,Acqua,0,Polline,"Il polline d'api è ricco di proteine, vitamine e altri nutrienti.",20
q26,bee_products,Prodotti dell'alveare,"Cosa caratterizza un miele monoflora (es. acacia, castagno)?",È prodotto in un solo alveare,Deriva prevalentemente dal nettare di una singola specie vegetale,Non contiene polline,Non cristallizza mai,1,Deriva prevalentemente dal nettare di una singola specie vegetale,Un miele monoflora deriva in gran parte dal nettare di una singola specie di pianta.,25
q27,bee_products,Prodotti dell'alveare,Perché il miele cristallizza?,Perché diventa vecchio,Per presenza di acqua piovana,"Per la naturale precipitazione degli zuccheri, soprattutto glucosio",Perché è stato riscaldato,2,"Per la naturale precipitazione degli zuccheri, soprattutto glucosio",La cristallizzazione è un processo naturale legato al rapporto tra glucosio e fruttosio.,25
q28,bee_products,Prodotti dell'alveare,Che cos'è la pappa reale?,Il primo miele prodotto dalle api,Un tipo di cera particolarmente pura,Un parassita della regina,La secrezione con cui le api nutrono le larve e la regina,3,La secrezione con cui le api nutrono le larve e la regina,La pappa reale è una secrezione delle ghiandole ipofaringee usata per nutrire larve e regina.,25
q29,hive_management,Gestione dell'alveare,Quale attrezzatura è fondamentale per la sicurezza dell'apicoltore?,Tuta o giacca protettiva con velo,Scarpe aperte,Guanti in lana,Occhiali da sole,0,Tuta o giacca protettiva con velo,"La tuta o giacca con velo protegge da punture, soprattutto sul viso e sul corpo.",20
q30,hive_management,Gestione dell'alveare,Perché si utilizza l'affumicatore durante le ispezioni?,Per allontanare le api dall'alveare,Per calmare le api,Per riscaldare il miele,Per disinfettare i telaini,1,Per calmare le api,"Il fumo maschera i feromoni di allarme e induce le api a riempirsi di miele, rendendole più calme.",20
q31,hive_management,Gestione dell'alveare,Quale tra questi è un comportamento rispettoso verso le api durante la visita?,Colpire i telaini per far volare le api,Togliere il velo per vedere meglio,"Movimenti lenti e decisi, evitando colpi",Usare profumi intensi,2,"Movimenti lenti e decisi, evitando colpi",Movimenti lenti e controllati riducono lo stress e l'aggressività delle api.,20
